Date,Open,High,Low,Close
2025-05-01,5625.14,5658.91,5597.35,5604.14
2025-05-02,5645.88,5700.7,5642.28,5686.67
2025-05-05,5655.32,5683.38,5634.48,5650.38
2025-05-06,5605.87,5649.58,5586.04,5606.91
2025-05-07,5614.18,5654.73,5578.64,5631.28
2025-05-08,5663.6,5720.1,5635.38,5663.94
2025-05-09,5679.65,5691.69,5644.15,5659.91
2025-05-12,5807.2,5845.37,5786.08,5844.19
2025-05-13,5854.15,5906.64,5845.02,5886.55
2025-05-14,5896.74,5906.55,5872.11,5892.58
2025-05-15,5869.82,5924.21,5865.16,5916.93
2025-05-16,5929.09,5958.62,5907.36,5958.38
2025-05-19,5902.88,5968.61,5895.69,5963.6
2025-05-20,5944.66,5953.06,5909.26,5940.46
2025-05-21,5910.18,5938.37,5830.91,5844.61
2025-05-22,5841.26,5878.08,5825.82,5842.01
2025-05-23,5781.89,5829.51,5767.41,5802.82
2025-05-27,5854.07,5924.33,5854.07,5921.54
2025-05-28,5925.54,5939.92,5881.88,5888.55
2025-05-29,5939.96,5943.13,5873.8,5912.17
2025-05-30,5903.67,5922.14,5843.66,5911.69
2025-06-02,5896.68,5937.4,5861.43,5935.94
2025-06-03,5938.56,5981.35,5929.0,5970.37
2025-06-04,5978.94,5990.48,5966.11,5970.81
2025-06-05,5985.67,5999.7,5921.2,5939.3
2025-06-06,5987.06,6016.87,5978.63,6000.36
2025-06-09,6004.63,6021.31,5994.18,6005.88
2025-06-10,6009.91,6043.01,6000.28,6038.81
2025-06-11,6049.38,6059.4,6002.32,6022.24
2025-06-12,6009.9,6045.43,6003.88,6045.26
2025-06-13,6000.56,6026.16,5963.21,5976.97
2025-06-16,6004.0,6050.83,6004.0,6033.11
2025-06-17,6012.15,6023.25,5974.8,5982.72
2025-06-18,5987.93,6018.25,5971.89,5980.87
2025-06-20,5999.67,6018.2,5952.56,5967.84
2025-06-23,5969.67,6028.77,5943.23,6025.17
2025-06-24,6061.21,6101.76,6059.25,6092.18
2025-06-25,6104.23,6108.51,6080.09,6092.16
2025-06-26,6112.09,6146.52,6107.27,6141.02
2025-06-27,6150.7,6187.68,6132.35,6173.07
2025-06-30,6193.36,6215.08,6174.97,6204.95
2025-07-01,6187.25,6210.78,6177.97,6198.01
2025-07-02,6193.88,6227.6,6188.29,6227.42
2025-07-03,6246.46,6284.65,6246.46,6279.35
2025-07-07,6259.04,6262.07,6201.0,6229.98
2025-07-08,6234.03,6242.7,6217.75,6225.52
2025-07-09,6243.33,6269.16,6231.43,6263.26
2025-07-10,6266.8,6290.22,6251.44,6280.46
2025-07-11,6255.68,6269.44,6237.6,6259.75
2025-07-14,6255.15,6273.31,6239.22,6268.56
2025-07-15,6295.29,6302.04,6241.68,6243.76
2025-07-16,6254.5,6268.12,6201.59,6263.7
2025-07-17,6263.4,6304.69,6262.27,6297.36
2025-07-18,6312.95,6315.61,6285.27,6296.79
2025-07-21,6304.74,6336.08,6303.79,6305.6
2025-07-22,6306.6,6316.12,6281.71,6309.62
2025-07-23,6326.9,6360.64,6317.49,6358.91
2025-07-24,6368.6,6381.31,6360.57,6363.35
2025-07-25,6370.01,6395.82,6368.53,6388.64
2025-07-28,6397.69,6401.07,6375.79,6389.77
2025-07-29,6405.62,6409.26,6363.92,6370.86
2025-07-30,6381.23,6396.54,6336.38,6362.9
2025-07-31,6427.02,6427.02,6327.64,6339.39
2025-08-01,6287.28,6287.28,6212.69,6238.01
2025-08-04,6271.71,6330.69,6271.71,6329.94
2025-08-05,6336.63,6346.0,6289.37,6299.19
2025-08-06,6309.3,6352.83,6301.11,6345.06
2025-08-07,6374.32,6389.71,6310.32,6340.0
2025-08-08,6355.22,6395.16,6355.22,6389.45
2025-08-11,6389.67,6407.25,6364.06,6373.45
2025-08-12,6395.17,6446.55,6385.76,6445.76
2025-08-13,6462.67,6480.28,6445.02,6466.58
2025-08-14,6453.46,6473.92,6441.07,6468.54
2025-08-15,6477.38,6481.34,6441.85,6449.8
2025-08-18,6445.02,6455.35,6437.7,6449.15
2025-08-19,6446.24,6456.48,6400.22,6411.37
2025-08-20,6406.62,6408.4,6343.86,6395.78
2025-08-21,6380.83,6393.65,6352.71,6370.17
2025-08-22,6384.59,6478.89,6384.59,6466.91
2025-08-25,6457.67,6466.89,6438.06,6439.32
2025-08-26,6435.49,6468.37,6429.21,6465.94
2025-08-27,6462.26,6487.06,6457.84,6481.4
2025-08-28,6483.84,6508.23,6466.96,6501.86
2025-08-29,6489.28,6491.76,6444.57,6460.26
2025-09-02,6401.51,6416.54,6360.58,6415.54
2025-09-03,6445.82,6453.67,6416.17,6448.26
2025-09-04,6456.6,6502.54,6445.98,6502.08
2025-09-05,6529.08,6532.65,6443.98,6481.5
2025-09-08,6498.09,6508.67,6483.29,6495.15
2025-09-09,6503.33,6518.23,6483.08,6512.61
2025-09-10,6550.29,6555.97,6516.34,6532.04
2025-09-11,6554.41,6592.89,6545.8,6587.47
2025-09-12,6590.66,6600.21,6579.49,6584.29
2025-09-15,6603.49,6619.62,6602.07,6615.28
2025-09-16,6624.13,6626.99,6600.11,6606.76
2025-09-17,6604.87,6624.39,6551.15,6600.35
2025-09-18,6626.85,6656.8,6611.89,6631.96
2025-09-19,6647.11,6671.82,6630.31,6664.36
2025-09-22,6654.28,6698.88,6648.07,6693.75
2025-09-23,6692.44,6699.52,6645.58,6656.92
2025-09-24,6669.79,6672.66,6621.76,6637.97
2025-09-25,6608.19,6619.0,6569.22,6604.72
2025-09-26,6615.38,6648.97,6604.43,6643.7
2025-09-29,6661.58,6677.31,6644.49,6661.21
2025-09-30,6656.19,6691.25,6641.0,6688.46
2025-10-01,6664.92,6718.48,6656.2,6711.2
2025-10-02,6731.31,6731.94,6693.23,6715.35
2025-10-03,6722.14,6750.87,6705.67,6715.79
2025-10-06,6733.86,6749.52,6717.78,6740.28
2025-10-07,6746.14,6754.49,6699.96,6714.59
2025-10-08,6723.87,6755.64,6718.09,6753.72
2025-10-09,6760.5,6764.58,6716.17,6735.11
2025-10-10,6740.49,6762.4,6550.78,6552.51
2025-10-13,6622.53,6668.68,6620.71,6654.72
2025-10-14,6602.49,6680.7,6555.07,6644.31
2025-10-15,6688.27,6724.12,6612.11,6671.06
2025-10-16,6689.02,6709.34,6593.99,6629.07
2025-10-17,6613.27,6678.88,6603.76,6664.01
2025-10-20,6690.05,6744.35,6690.05,6735.13
2025-10-21,6736.75,6752.16,6722.03,6735.35
2025-10-22,6741.34,6741.75,6655.69,6699.4
2025-10-23,6703.65,6749.53,6700.14,6738.44
2025-10-24,6772.07,6807.11,6772.07,6791.69
2025-10-27,6845.46,6877.28,6843.94,6875.16
2025-10-28,6897.74,6911.3,6870.73,6890.89
2025-10-29,6910.95,6920.34,6851.91,6890.59
2025-10-30,6860.5,6880.75,6820.69,6822.34
2025-10-31,6879.17,6879.17,6814.26,6840.2
2025-11-03,6882.32,6882.32,6820.62,6851.97
2025-11-04,6788.52,6820.21,6766.71,6771.55
2025-11-05,6769.77,6829.78,6763.11,6796.29
2025-11-06,6787.59,6796.68,6707.51,6720.32
2025-11-07,6696.18,6730.11,6631.44,6728.8
2025-11-10,6785.36,6841.32,6770.56,6832.43
2025-11-11,6815.64,6855.13,6806.87,6846.61
2025-11-12,6867.77,6869.91,6829.62,6850.92
2025-11-13,6826.47,6828.05,6724.72,6737.49
2025-11-14,6672.14,6774.31,6646.87,6734.11
2025-11-17,6713.61,6754.5,6638.9,6672.41
2025-11-18,6641.19,6666.63,6574.32,6617.32
2025-11-19,6625.84,6689.75,6603.5,6642.16
2025-11-20,6737.93,6770.35,6534.05,6538.76
2025-11-21,6555.77,6660.05,6521.92,6602.99
2025-11-24,6636.54,6715.75,6630.7,6705.12
2025-11-25,6697.03,6776.4,6659.98,6765.88
2025-11-26,6793.55,6831.44,6783.87,6812.61
2025-11-28,6822.52,6850.86,6819.75,6849.09
2025-12-01,6812.3,6843.65,6799.94,6812.63
2025-12-02,6830.96,6851.55,6806.71,6829.37
2025-12-03,6815.29,6862.42,6810.43,6849.72
2025-12-04,6866.47,6866.47,6827.12,6857.12
2025-12-05,6866.32,6895.78,6858.29,6870.4
2025-12-08,6875.2,6878.27,6827.19,6846.51
2025-12-09,6840.61,6864.92,6837.43,6840.51
2025-12-10,6833.49,6900.67,6824.69,6886.68
2025-12-11,6861.3,6903.46,6833.45,6901.0
2025-12-12,6886.85,6899.85,6801.79,6827.41
2025-12-15,6860.19,6861.59,6801.49,6816.51
2025-12-16,6800.12,6819.27,6759.74,6800.26
2025-12-17,6802.88,6812.26,6720.43,6721.43
2025-12-18,6778.06,6816.13,6758.5,6774.76
2025-12-19,6792.62,6840.02,6792.62,6834.5
2025-12-22,6865.21,6882.03,6855.74,6878.49
2025-12-23,6872.41,6910.88,6868.81,6909.79
2025-12-24,6904.91,6937.32,6904.91,6932.05
2025-12-26,6936.02,6945.77,6921.6,6929.94
2025-12-29,6903.6,6920.21,6888.76,6905.74
2025-12-30,6900.44,6913.25,6893.47,6896.24
2025-12-31,6898.82,6901.42,6844.55,6845.5
2026-01-02,6878.11,6894.87,6824.31,6858.47
2026-01-05,6892.19,6920.38,6891.56,6902.05
2026-01-06,6908.03,6948.69,6904.02,6944.82
2026-01-07,6945.07,6965.69,6919.19,6920.93
2026-01-08,6914.11,6931.28,6899.33,6921.46
2026-01-09,6927.83,6978.36,6917.64,6966.28
2026-01-12,6944.12,6986.33,6934.07,6977.27
2026-01-13,6977.41,6985.83,6938.77,6963.74
2026-01-14,6937.41,6941.3,6885.74,6926.6
2026-01-15,6969.46,6979.34,6937.93,6944.47
2026-01-16,6960.54,6967.3,6925.09,6940.01
2026-01-20,6865.24,6871.17,6789.05,6796.86
2026-01-21,6810.71,6910.39,6804.96,6875.62
2026-01-22,6914.44,6934.75,6893.62,6913.35
2026-01-23,6907.85,6932.96,6895.5,6915.61
2026-01-26,6923.23,6964.66,6921.6,6950.23
2026-01-27,6965.96,6988.82,6958.83,6978.6
2026-01-28,7002.0,7002.28,6963.46,6978.03
2026-01-29,6977.74,6992.84,6870.8,6969.01
2026-01-30,6947.27,6964.09,6893.48,6939.03
2026-02-02,6916.64,6991.92,6914.34,6976.44
2026-02-03,6985.45,6993.08,6862.05,6917.81
2026-02-04,6924.5,6936.09,6838.8,6882.72
